date,description,amount,currency,channel,category
2025-05-27,PRET A MANGER,-109.77,GBP,card,meals
2025-02-02,APPLE STORE,-198.07,GBP,transfer,equipment
2025-01-30,APPLE STORE,-114.22,GBP,transfer,equipment
2025-06-14,AMAZON,-42.46,GBP,transfer,equipment
2025-03-29,GOOGLE ADS,-42.1,GBP,transfer,marketing
2025-01-12,GOOGLE ADS,-39.55,GBP,card,marketing
2025-06-19,APPLE STORE,-137.35,GBP,direct_debit,equipment
2025-01-09,UBER TRIP,-72.7,GBP,card,travel
2025-03-08,GOOGLE ADS,-168.34,GBP,transfer,marketing
2025-03-25,AMAZON,-199.04,GBP,card,equipment
2025-03-29,AWS CLOUD,-66.19,GBP,transfer,software
2025-01-18,AMAZON,-31.14,GBP,card,equipment
2025-05-30,FACEBOOK ADS,-195.53,GBP,direct_debit,marketing
2025-02-17,OFFICE RENT LTD,-644.89,GBP,transfer,rent
2025-06-15,TRAINLINE UK,-18.86,GBP,direct_debit,travel
2025-05-09,FACEBOOK ADS,-171.9,GBP,card,marketing
2025-04-08,APPLE STORE,-136.02,GBP,card,equipment
2025-04-11,AMAZON,-160.68,GBP,direct_debit,equipment
2025-04-21,FACEBOOK ADS,-167.57,GBP,direct_debit,marketing
2025-03-05,TRAINLINE UK,-113.22,GBP,card,travel
2025-05-18,FACEBOOK ADS,-41.93,GBP,direct_debit,marketing
2025-05-04,OPEN API,-53.11,GBP,direct_debit,software
2025-05-01,WEWORK RENT,-703.76,GBP,transfer,rent
2025-03-14,OFFICE RENT LTD,-1621.89,GBP,card,rent
2025-01-23,OFFICE RENT LTD,-590.31,GBP,direct_debit,rent
2025-01-11,APPLE STORE,-117.2,GBP,transfer,equipment
2025-05-04,APPLE STORE,-79.87,GBP,card,equipment
2025-05-07,UBER TRIP,-124.17,GBP,card,travel
2025-06-11,GOOGLE ADS,-83.5,GBP,card,marketing
2025-03-02,APPLE STORE,-151.23,GBP,transfer,equipment
2025-03-03,OFFICE RENT LTD,-1265.15,GBP,card,rent
2025-04-04,PRET A MANGER,-58.51,GBP,direct_debit,meals
2025-04-08,STARBUCKS,-166.17,GBP,transfer,meals
2025-01-08,OFFICE RENT LTD,-658.24,GBP,direct_debit,rent
2025-04-30,GOOGLE ADS,-47.52,GBP,transfer,marketing
2025-01-21,GITHUB,-162.8,GBP,direct_debit,software
2025-01-25,STARBUCKS,-27.44,GBP,card,meals
2025-02-13,WEWORK RENT,-825.13,GBP,direct_debit,rent
2025-02-02,OFFICE RENT LTD,-1166.32,GBP,transfer,rent
2025-02-14,GOOGLE ADS,-95.55,GBP,transfer,marketing
2025-02-08,PRET A MANGER,-53.95,GBP,card,meals
2025-05-18,AMAZON,-84.76,GBP,transfer,equipment
2025-05-07,GOOGLE ADS,-190.98,GBP,transfer,marketing
2025-06-22,WEWORK RENT,-827.87,GBP,direct_debit,rent
2025-02-27,STARBUCKS,-196.48,GBP,card,meals
2025-05-14,AWS CLOUD,-28.55,GBP,transfer,software
2025-02-16,WEWORK RENT,-837.39,GBP,card,rent
2025-06-10,AMAZON,-180.39,GBP,direct_debit,equipment
2025-04-09,NOTION LABS,-95.69,GBP,transfer,software
2025-05-03,PRET A MANGER,-161.01,GBP,transfer,meals
2025-06-12,RYANAIR FLIGHT,-55.55,GBP,direct_debit,travel
2025-04-29,PRET A MANGER,-95.92,GBP,card,meals
2025-02-02,APPLE STORE,-135.51,GBP,card,equipment
2025-01-02,GITHUB,-34.1,GBP,card,software
2025-04-06,TRAINLINE UK,-91.48,GBP,direct_debit,travel
2025-02-12,UBER TRIP,-54.77,GBP,transfer,travel
2025-01-19,NOTION LABS,-125.29,GBP,direct_debit,software
2025-06-11,GOOGLE ADS,-94.49,GBP,transfer,marketing
2025-02-04,PRET A MANGER,-166.28,GBP,transfer,meals
2025-05-31,NOTION LABS,-185.38,GBP,transfer,software
2025-05-17,AWS CLOUD,-107.38,GBP,direct_debit,software
2025-01-03,RYANAIR FLIGHT,-82.88,GBP,direct_debit,travel
2025-06-21,AMAZON,-64.72,GBP,direct_debit,equipment
2025-06-08,TRAINLINE UK,-20.72,GBP,card,travel
2025-06-01,NOTION LABS,-95.55,GBP,direct_debit,software
2025-01-14,RYANAIR FLIGHT,-114.87,GBP,transfer,travel
2025-03-04,OPEN API,-156.48,GBP,card,software
2025-05-18,PRET A MANGER,-9.72,GBP,transfer,meals
2025-03-18,GITHUB,-163.63,GBP,card,software
2025-03-08,TRAINLINE UK,-186.84,GBP,transfer,travel
2025-02-07,TRAINLINE UK,-109.1,GBP,card,travel
2025-01-17,AMAZON,-172.36,GBP,transfer,equipment
2025-02-12,AWS CLOUD,-140.47,GBP,transfer,software
2025-04-20,WEWORK RENT,-1687.81,GBP,card,rent
2025-04-01,UBER TRIP,-20.1,GBP,direct_debit,travel
2025-05-15,RYANAIR FLIGHT,-53.57,GBP,card,travel
2025-02-11,WEWORK RENT,-1154.29,GBP,direct_debit,rent
2025-03-19,OPEN API,-157.19,GBP,card,software
2025-01-10,AWS CLOUD,-55.31,GBP,transfer,software
2025-04-27,PRET A MANGER,-123.78,GBP,transfer,meals
2025-04-20,PRET A MANGER,-51.3,GBP,transfer,meals
2025-03-02,WEWORK RENT,-1158.45,GBP,transfer,rent
2025-05-17,WEWORK RENT,-1579.24,GBP,direct_debit,rent
2025-04-30,FACEBOOK ADS,-50.8,GBP,direct_debit,marketing
2025-01-17,PRET A MANGER,-167.9,GBP,card,meals
2025-04-29,APPLE STORE,-142.82,GBP,card,equipment
2025-06-22,AMAZON,-186.09,GBP,direct_debit,equipment
2025-06-15,OPEN API,-180.91,GBP,direct_debit,software
2025-04-21,PRET A MANGER,-187.78,GBP,direct_debit,meals
2025-01-11,OFFICE RENT LTD,-1670.56,GBP,card,rent
2025-01-21,APPLE STORE,-186.98,GBP,transfer,equipment
2025-04-02,WEWORK RENT,-1598.7,GBP,transfer,rent
2025-02-26,GOOGLE ADS,-85.09,GBP,transfer,marketing
2025-01-05,GITHUB,-164.74,GBP,direct_debit,software
2025-06-17,NOTION LABS,-48.82,GBP,card,software
2025-01-11,AMAZON,-64.12,GBP,transfer,equipment
2025-03-27,TRAINLINE UK,-96.34,GBP,transfer,travel
2025-03-11,OFFICE RENT LTD,-565.34,GBP,transfer,rent
2025-06-08,NOTION LABS,-101.67,GBP,direct_debit,software
2025-01-05,TRAINLINE UK,-162.69,GBP,transfer,travel
2025-05-12,STARBUCKS,-122.4,GBP,transfer,meals
2025-01-19,FACEBOOK ADS,-196.93,GBP,card,marketing
2025-01-25,FACEBOOK ADS,-64.84,GBP,direct_debit,marketing
2025-04-07,RYANAIR FLIGHT,-19.4,GBP,card,travel
2025-01-12,TRAINLINE UK,-44.78,GBP,transfer,travel
2025-01-17,GOOGLE ADS,-134.88,GBP,card,marketing
2025-02-15,STARBUCKS,-173.63,GBP,direct_debit,meals
2025-05-11,RYANAIR FLIGHT,-164.99,GBP,card,travel
2025-05-08,RYANAIR FLIGHT,-117.54,GBP,transfer,travel
2025-01-22,STARBUCKS,-150.64,GBP,card,meals
2025-01-28,OFFICE RENT LTD,-949.41,GBP,card,rent
2025-04-27,UBER TRIP,-114.09,GBP,card,travel
2025-06-06,GOOGLE ADS,-84.91,GBP,card,marketing
2025-01-26,PRET A MANGER,-142.04,GBP,transfer,meals
2025-01-31,AMAZON,-67.68,GBP,card,equipment
2025-05-20,WEWORK RENT,-1880.47,GBP,direct_debit,rent
2025-04-06,STARBUCKS,-145.21,GBP,direct_debit,meals
2025-03-01,AWS CLOUD,-40.2,GBP,direct_debit,software
2025-05-21,OFFICE RENT LTD,-782.95,GBP,transfer,rent
2025-05-12,TRAINLINE UK,-156.78,GBP,direct_debit,travel
2025-05-16,STARBUCKS,-194.05,GBP,card,meals
2025-06-29,AWS CLOUD,-32.83,GBP,transfer,software
2025-03-10,RYANAIR FLIGHT,-102.35,GBP,transfer,travel
2025-06-25,AMAZON,-43.32,GBP,card,equipment
2025-05-04,AWS CLOUD,-152.49,GBP,direct_debit,software
2025-04-23,AMAZON,-44.3,GBP,transfer,equipment
2025-06-30,AMAZON,-180.75,GBP,transfer,equipment
2025-05-04,STARBUCKS,-158.17,GBP,card,meals
2025-04-13,UBER TRIP,-85.72,GBP,direct_debit,travel
2025-03-29,OPEN API,-29.27,GBP,direct_debit,software
2025-01-17,AWS CLOUD,-65.11,GBP,direct_debit,software
2025-03-24,UBER TRIP,-78.9,GBP,direct_debit,travel
2025-02-06,UBER TRIP,-156.55,GBP,direct_debit,travel
2025-01-23,UBER TRIP,-159.04,GBP,card,travel
2025-03-17,RYANAIR FLIGHT,-188.66,GBP,direct_debit,travel
2025-01-02,NOTION LABS,-199.77,GBP,direct_debit,software
2025-03-03,OFFICE RENT LTD,-1863.98,GBP,card,rent
2025-04-22,FACEBOOK ADS,-65.29,GBP,direct_debit,marketing
2025-03-06,GOOGLE ADS,-127.59,GBP,transfer,marketing
2025-02-25,PRET A MANGER,-136.27,GBP,card,meals
2025-06-15,PRET A MANGER,-174.44,GBP,direct_debit,meals
2025-03-10,OPEN API,-177.17,GBP,direct_debit,software
2025-04-14,APPLE STORE,-50.33,GBP,transfer,equipment
2025-02-16,WEWORK RENT,-1229.43,GBP,card,rent
2025-01-11,AWS CLOUD,-140.49,GBP,transfer,software
2025-06-19,APPLE STORE,-131.07,GBP,direct_debit,equipment
2025-03-25,APPLE STORE,-63.08,GBP,card,equipment
2025-02-09,OFFICE RENT LTD,-1375.08,GBP,card,rent
2025-06-14,TRAINLINE UK,-107.43,GBP,direct_debit,travel
2025-01-04,APPLE STORE,-53.44,GBP,transfer,equipment
2025-05-27,FACEBOOK ADS,-85.5,GBP,transfer,marketing
2025-02-24,OFFICE RENT LTD,-955.94,GBP,transfer,rent
2025-05-31,APPLE STORE,-124.91,GBP,transfer,equipment
2025-06-21,FACEBOOK ADS,-92.76,GBP,direct_debit,marketing
2025-04-04,GITHUB,-175.61,GBP,card,software
2025-04-22,PRET A MANGER,-125.86,GBP,transfer,meals
2025-03-10,RYANAIR FLIGHT,-91.97,GBP,transfer,travel
2025-03-31,OPEN API,-39.45,GBP,direct_debit,software
2025-02-02,AMAZON,-49.64,GBP,direct_debit,equipment
2025-01-05,WEWORK RENT,-572.11,GBP,transfer,rent
2025-02-12,STARBUCKS,-22.39,GBP,direct_debit,meals
2025-06-21,STARBUCKS,-177.37,GBP,direct_debit,meals
2025-04-18,WEWORK RENT,-1447.77,GBP,transfer,rent
2025-01-21,OFFICE RENT LTD,-723.97,GBP,card,rent
2025-06-22,GOOGLE ADS,-28.93,GBP,transfer,marketing
2025-02-24,WEWORK RENT,-944.65,GBP,card,rent
2025-03-12,STARBUCKS,-131.26,GBP,card,meals
2025-06-17,UBER TRIP,-178.41,GBP,transfer,travel
2025-04-26,GITHUB,-49.97,GBP,transfer,software
2025-01-02,GITHUB,-197.88,GBP,transfer,software
2025-01-13,OPEN API,-10.27,GBP,direct_debit,software
2025-06-09,APPLE STORE,-100.93,GBP,card,equipment
2025-02-17,AWS CLOUD,-6.92,GBP,card,software
2025-01-26,WEWORK RENT,-605.55,GBP,card,rent
2025-02-15,FACEBOOK ADS,-28.71,GBP,card,marketing
2025-05-22,GOOGLE ADS,-48.04,GBP,direct_debit,marketing
2025-06-21,RYANAIR FLIGHT,-23.44,GBP,transfer,travel
2025-04-21,AMAZON,-27.4,GBP,card,equipment
2025-05-17,RYANAIR FLIGHT,-101.02,GBP,transfer,travel
2025-01-29,GITHUB,-16.32,GBP,card,software
2025-05-26,PRET A MANGER,-116.39,GBP,card,meals
2025-01-01,GOOGLE ADS,-12.88,GBP,card,marketing
2025-05-22,RYANAIR FLIGHT,-29.11,GBP,direct_debit,travel
2025-01-23,APPLE STORE,-139.67,GBP,direct_debit,equipment
2025-01-26,UBER TRIP,-131.26,GBP,direct_debit,travel
2025-03-21,STARBUCKS,-125.58,GBP,direct_debit,meals
2025-03-21,APPLE STORE,-177.92,GBP,transfer,equipment
2025-03-01,UBER TRIP,-55.79,GBP,card,travel
2025-02-03,STARBUCKS,-99.32,GBP,direct_debit,meals
2025-02-24,AWS CLOUD,-71.36,GBP,direct_debit,software
2025-06-08,GITHUB,-67.04,GBP,direct_debit,software
2025-06-22,WEWORK RENT,-928.32,GBP,card,rent
2025-02-08,NOTION LABS,-143.47,GBP,transfer,software
2025-03-13,PRET A MANGER,-168.66,GBP,transfer,meals
2025-05-21,OPEN API,-29.32,GBP,card,software
2025-06-12,TRAINLINE UK,-106.17,GBP,card,travel
2025-04-14,PRET A MANGER,-72.38,GBP,direct_debit,meals
2025-04-02,GOOGLE ADS,-26.68,GBP,card,marketing
2025-03-18,APPLE STORE,-90.28,GBP,transfer,equipment
2025-05-01,PRET A MANGER,-189.99,GBP,transfer,meals
2025-01-05,AWS CLOUD,-179.25,GBP,card,software
2025-06-25,AMAZON,-129.37,GBP,direct_debit,equipment
2025-04-10,OFFICE RENT LTD,-1680.68,GBP,card,rent
2025-05-23,APPLE STORE,-23.87,GBP,card,equipment
2025-02-09,PRET A MANGER,-103.0,GBP,transfer,meals
2025-01-24,FACEBOOK ADS,-194.2,GBP,direct_debit,marketing
2025-04-27,NOTION LABS,-56.33,GBP,transfer,software
2025-01-19,AMAZON,-101.4,GBP,transfer,equipment
2025-01-13,FACEBOOK ADS,-113.62,GBP,direct_debit,marketing
2025-03-01,NOTION LABS,-191.38,GBP,transfer,software
2025-05-16,PRET A MANGER,-59.49,GBP,transfer,meals
2025-02-04,NOTION LABS,-38.01,GBP,direct_debit,software
2025-03-21,OFFICE RENT LTD,-962.52,GBP,transfer,rent
2025-02-19,OFFICE RENT LTD,-839.51,GBP,card,rent
2025-05-23,TRAINLINE UK,-54.48,GBP,transfer,travel
2025-06-12,NOTION LABS,-111.3,GBP,direct_debit,software
2025-04-11,GITHUB,-70.14,GBP,card,software
2025-06-04,GITHUB,-78.29,GBP,card,software
2025-06-12,AWS CLOUD,-196.08,GBP,card,software
2025-01-08,APPLE STORE,-150.51,GBP,direct_debit,equipment
2025-03-17,GOOGLE ADS,-185.05,GBP,direct_debit,marketing
2025-01-05,WEWORK RENT,-1078.88,GBP,transfer,rent
2025-02-23,TRAINLINE UK,-85.26,GBP,direct_debit,travel
2025-02-16,OFFICE RENT LTD,-1960.23,GBP,card,rent
2025-03-27,OFFICE RENT LTD,-1656.06,GBP,transfer,rent
2025-04-10,FACEBOOK ADS,-154.68,GBP,direct_debit,marketing
2025-04-07,AMAZON,-151.41,GBP,transfer,equipment
2025-02-20,AMAZON,-36.32,GBP,direct_debit,equipment
2025-02-18,OPEN API,-22.96,GBP,card,software
2025-03-10,OPEN API,-122.11,GBP,card,software
2025-01-08,WEWORK RENT,-863.1,GBP,transfer,rent
2025-03-16,TRAINLINE UK,-199.34,GBP,card,travel
2025-05-31,AMAZON,-154.72,GBP,card,equipment
2025-04-18,OFFICE RENT LTD,-1170.96,GBP,direct_debit,rent
2025-01-01,AWS CLOUD,-46.84,GBP,card,software
2025-03-13,RYANAIR FLIGHT,-107.52,GBP,transfer,travel
2025-01-27,WEWORK RENT,-1203.14,GBP,direct_debit,rent
2025-05-15,STARBUCKS,-36.41,GBP,card,meals
2025-03-13,GOOGLE ADS,-109.44,GBP,card,marketing
2025-01-25,STARBUCKS,-174.21,GBP,transfer,meals
2025-06-04,APPLE STORE,-9.42,GBP,direct_debit,equipment
2025-01-02,TRAINLINE UK,-29.07,GBP,direct_debit,travel
2025-05-04,STARBUCKS,-43.01,GBP,card,meals
2025-03-16,UBER TRIP,-93.56,GBP,direct_debit,travel
2025-05-04,GITHUB,-147.53,GBP,transfer,software
2025-05-01,APPLE STORE,-32.24,GBP,card,equipment
2025-01-15,OFFICE RENT LTD,-1235.69,GBP,transfer,rent
2025-04-27,GOOGLE ADS,-115.94,GBP,transfer,marketing
2025-04-09,FACEBOOK ADS,-108.7,GBP,transfer,marketing
2025-06-04,OPEN API,-76.83,GBP,transfer,software
2025-06-15,GOOGLE ADS,-90.41,GBP,card,marketing
2025-03-13,WEWORK RENT,-1962.98,GBP,direct_debit,rent
2025-03-13,APPLE STORE,-58.11,GBP,transfer,equipment
2025-04-23,STARBUCKS,-69.95,GBP,direct_debit,meals
2025-03-14,GOOGLE ADS,-149.61,GBP,transfer,marketing
2025-06-10,GITHUB,-160.29,GBP,transfer,software
2025-06-03,STARBUCKS,-179.8,GBP,direct_debit,meals
2025-06-25,PRET A MANGER,-35.01,GBP,transfer,meals
2025-03-30,PRET A MANGER,-124.92,GBP,transfer,meals
2025-06-13,OFFICE RENT LTD,-1748.76,GBP,direct_debit,rent
2025-04-30,WEWORK RENT,-1289.1,GBP,direct_debit,rent
2025-02-27,GOOGLE ADS,-74.31,GBP,direct_debit,marketing
2025-01-11,WEWORK RENT,-1305.75,GBP,direct_debit,rent
2025-06-15,APPLE STORE,-97.4,GBP,card,equipment
2025-04-19,AMAZON,-142.1,GBP,transfer,equipment
2025-02-23,NOTION LABS,-173.41,GBP,transfer,software
2025-04-06,GOOGLE ADS,-158.31,GBP,transfer,marketing
2025-03-15,OPEN API,-185.42,GBP,card,software
2025-05-14,OFFICE RENT LTD,-1263.5,GBP,transfer,rent
2025-01-29,STARBUCKS,-139.35,GBP,direct_debit,meals
2025-05-20,AWS CLOUD,-72.18,GBP,card,software
2025-04-18,GITHUB,-147.76,GBP,card,software
2025-03-01,FACEBOOK ADS,-28.69,GBP,transfer,marketing
2025-02-13,PRET A MANGER,-193.81,GBP,transfer,meals
2025-04-05,OPEN API,-9.79,GBP,transfer,software
2025-01-13,APPLE STORE,-92.4,GBP,direct_debit,equipment
2025-05-29,UBER TRIP,-71.03,GBP,transfer,travel
2025-01-28,STARBUCKS,-115.64,GBP,card,meals
2025-06-21,AWS CLOUD,-58.58,GBP,transfer,software
2025-02-16,FACEBOOK ADS,-98.69,GBP,card,marketing
2025-03-26,UBER TRIP,-91.86,GBP,card,travel
2025-01-01,FACEBOOK ADS,-31.63,GBP,transfer,marketing
2025-02-28,OPEN API,-162.61,GBP,transfer,software
2025-03-12,STARBUCKS,-36.26,GBP,transfer,meals
2025-03-23,OPEN API,-67.91,GBP,transfer,software
2025-05-29,STARBUCKS,-168.85,GBP,transfer,meals
2025-03-15,NOTION LABS,-30.7,GBP,transfer,software
2025-03-02,GOOGLE ADS,-18.64,GBP,direct_debit,marketing
2025-05-14,OFFICE RENT LTD,-784.86,GBP,card,rent
2025-03-17,TRAINLINE UK,-114.4,GBP,direct_debit,travel
2025-05-26,PRET A MANGER,-158.65,GBP,direct_debit,meals
2025-02-11,UBER TRIP,-44.17,GBP,direct_debit,travel
2025-01-28,WEWORK RENT,-553.68,GBP,transfer,rent
2025-04-19,TRAINLINE UK,-113.44,GBP,transfer,travel
2025-06-08,RYANAIR FLIGHT,-84.67,GBP,card,travel
2025-02-22,AMAZON,-56.61,GBP,direct_debit,equipment
2025-03-03,FACEBOOK ADS,-85.62,GBP,direct_debit,marketing
2025-06-03,OFFICE RENT LTD,-876.57,GBP,direct_debit,rent
2025-03-09,NOTION LABS,-170.0,GBP,direct_debit,software
2025-06-03,FACEBOOK ADS,-40.96,GBP,transfer,marketing
2025-01-15,AMAZON,-19.98,GBP,card,equipment
2025-06-10,GITHUB,-32.94,GBP,direct_debit,software
2025-01-27,WEWORK RENT,-1505.47,GBP,transfer,rent
2025-04-04,NOTION LABS,-84.59,GBP,direct_debit,software
2025-02-08,PRET A MANGER,-34.34,GBP,card,meals
2025-01-18,AMAZON,-188.22,GBP,card,equipment
2025-06-10,NOTION LABS,-37.63,GBP,direct_debit,software
2025-02-17,AWS CLOUD,-87.31,GBP,direct_debit,software
2025-03-26,WEWORK RENT,-1447.7,GBP,direct_debit,rent
2025-02-12,AWS CLOUD,-82.62,GBP,direct_debit,software
2025-06-25,GOOGLE ADS,-128.66,GBP,transfer,marketing
2025-01-05,GOOGLE ADS,-143.84,GBP,direct_debit,marketing
2025-05-08,OFFICE RENT LTD,-1821.03,GBP,transfer,rent
2025-06-13,APPLE STORE,-98.0,GBP,direct_debit,equipment
2025-02-25,UBER TRIP,-97.37,GBP,direct_debit,travel
2025-04-28,OPEN API,-121.83,GBP,direct_debit,software
2025-06-07,STARBUCKS,-180.64,GBP,transfer,meals
2025-06-16,OFFICE RENT LTD,-1807.61,GBP,transfer,rent
2025-06-05,AMAZON,-25.04,GBP,direct_debit,equipment
2025-02-10,STARBUCKS,-109.2,GBP,transfer,meals
2025-04-04,GITHUB,-22.68,GBP,transfer,software
2025-03-08,GOOGLE ADS,-42.83,GBP,transfer,marketing
2025-03-14,APPLE STORE,-28.05,GBP,transfer,equipment
2025-05-26,NOTION LABS,-184.06,GBP,direct_debit,software
2025-06-24,FACEBOOK ADS,-43.89,GBP,card,marketing
2025-02-02,OFFICE RENT LTD,-1360.71,GBP,transfer,rent
2025-05-13,AWS CLOUD,-88.65,GBP,direct_debit,software
2025-02-11,OPEN API,-165.89,GBP,direct_debit,software
2025-03-31,STARBUCKS,-194.2,GBP,direct_debit,meals
2025-04-11,TRAINLINE UK,-121.89,GBP,direct_debit,travel
2025-04-12,GOOGLE ADS,-149.1,GBP,transfer,marketing
2025-02-09,GOOGLE ADS,-114.55,GBP,card,marketing
2025-03-30,FACEBOOK ADS,-84.33,GBP,direct_debit,marketing
2025-05-27,OPEN API,-48.99,GBP,direct_debit,software
2025-06-02,WEWORK RENT,-1638.84,GBP,direct_debit,rent
2025-01-20,APPLE STORE,-88.13,GBP,transfer,equipment
2025-05-28,OPEN API,-15.53,GBP,card,software
2025-03-18,AWS CLOUD,-30.86,GBP,transfer,software
2025-02-21,APPLE STORE,-48.79,GBP,transfer,equipment
2025-04-21,GOOGLE ADS,-82.79,GBP,direct_debit,marketing
2025-01-01,AWS CLOUD,-40.56,GBP,transfer,software
2025-03-14,AMAZON,-162.67,GBP,direct_debit,equipment
2025-02-07,STARBUCKS,-28.54,GBP,card,meals
2025-01-18,STARBUCKS,-143.49,GBP,transfer,meals
2025-01-29,STARBUCKS,-191.12,GBP,transfer,meals
2025-04-21,PRET A MANGER,-164.87,GBP,direct_debit,meals
2025-01-12,FACEBOOK ADS,-57.19,GBP,card,marketing
2025-06-28,OFFICE RENT LTD,-1085.04,GBP,transfer,rent
2025-02-04,STARBUCKS,-172.14,GBP,direct_debit,meals
2025-02-23,OFFICE RENT LTD,-1583.58,GBP,transfer,rent
2025-04-30,FACEBOOK ADS,-149.91,GBP,transfer,marketing
2025-01-30,WEWORK RENT,-1887.1,GBP,direct_debit,rent
2025-04-11,PRET A MANGER,-20.31,GBP,card,meals
2025-01-22,RYANAIR FLIGHT,-165.24,GBP,transfer,travel
2025-04-11,STARBUCKS,-132.43,GBP,direct_debit,meals
2025-06-24,STARBUCKS,-138.23,GBP,direct_debit,meals
2025-03-26,GOOGLE ADS,-21.51,GBP,transfer,marketing
2025-06-04,GOOGLE ADS,-197.96,GBP,card,marketing
2025-06-11,FACEBOOK ADS,-111.9,GBP,transfer,marketing
2025-04-06,STARBUCKS,-31.3,GBP,direct_debit,meals
2025-05-11,GOOGLE ADS,-161.49,GBP,transfer,marketing
2025-01-03,STARBUCKS,-98.15,GBP,card,meals
2025-04-01,GOOGLE ADS,-13.52,GBP,transfer,marketing
